NAME,0,1,2,3,4,5,6,7,8,9,10,11,
Morus alba,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Morus_alba
Ligustrum sinensis,,,,,,,1,1,1,,,,https://en.wikipedia.org/wiki/Ligustrum_sinense
Eucalyptus globulus,,,,,,,,,1,1,,,https://en.wikipedia.org/wiki/Eucalyptus_globulus
Pinus halepensis,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Pinus_halepensis
Gleditsia sp,,,,,1,1,,,,,,,https://en.wikipedia.org/wiki/Gleditsia
Ficus benjamina,,,,,,,,1,1,,,,https://en.wikipedia.org/wiki/Ficus_benjamina
Quercus sp,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Quercus
Forsythia sp,,,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Forsythia
Ficus microcarpa,,,,,,1,1,1,,,,,https://en.wikipedia.org/wiki/Ficus_microcarpa
Ulmus minor,,,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Ulmus_minor
Pinus nigra,,,,,1,1,,,,,,,https://en.wikipedia.org/wiki/Pinus_nigra
Lagerstroemia indica,,,,,,1,1,1,1,1,,,https://en.wikipedia.org/wiki/Lagerstroemia_indica
Photinia serrulata,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Photinia_serratifolia
Schinus molle,,,,,,1,1,1,,,,,https://en.wikipedia.org/wiki/Schinus_molle
Fraxinus latifolia,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Fraxinus_latifolia
Fraxinus excelsior,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Fraxinus_excelsior
Chamaerops excelsa,,,,1,1,1,,,,,,,https://en.wikipedia.org/wiki/Chamaerops
Prunus spinosa,,,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Prunus_spinosa
Tilia sp,,,,,,1,1,,,,,,https://en.wikipedia.org/wiki/Tilia_species
Ficus elastica,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Ficus_elastica
Pinus pinea,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Stone_pine
Leucaena leucocephala,,,,,,1,1,1,1,1,,,https://en.wikipedia.org/wiki/Leucaena_leucocephala
Populus nigra,,,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Populus_nigra
Thuja sp,1,1,1,,,,,,,,1,1,https://en.wikipedia.org/wiki/Thuja
Philodendron pinnatifolium,,,,1,1,1,1,,,,,,https://en.wikipedia.org/wiki/Philodendron_pinnatifidum
Hibiscus sp,,,,,,1,1,1,,,,,https://en.wikipedia.org/wiki/Hibiscus
Casuarina sp,1,1,1,,,,,,,,,,https://en.wikipedia.org/wiki/Casuarina
Ficus carica,,,,,1,1,1,1,1,1,,,https://en.wikipedia.org/wiki/Fig
Pinus canariensis,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Pinus_canariensis
Celtis occidentalis,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Celtis_occidentalis
Parkinsonia aculeata,,,,,,1,1,1,,,,,https://en.wikipedia.org/wiki/Parkinsonia_aculeata
Phragmites australis,,,,,1,1,,,,,,,https://en.wikipedia.org/wiki/Phragmites_australis
Ficus retusa,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Ficus_retusa
Magnolia grandiflora,,,,,1,1,1,1,,,,,https://en.wikipedia.org/wiki/Magnolia_grandiflora
Yucca sp,,,,,,1,1,1,,,,,https://en.wikipedia.org/wiki/Yucca
Populus sp,,1,1,,,,,,,,,,https://en.wikipedia.org/wiki/Populus
Chorisia speciosa,,,,,,,,,1,1,1,,https://en.wikipedia.org/wiki/Chorisia_speciosa
Tamarix sp,,,1,1,,,1,1,,,,,https://en.wikipedia.org/wiki/Tamarix
Thuja occidentalis,,1,1,,,,,,,,,,https://en.wikipedia.org/wiki/Thuja_occidentalis
Euonymus japonicus,,,,,1,1,1,,,,,,https://en.wikipedia.org/wiki/Euonymus_japonicus
Lagerstroemia speciosa,,,,,,1,1,1,1,1,,,https://en.wikipedia.org/wiki/Lagerstroemia_speciosa
Prunus cerasifera pisardii,1,1,1,,,,,,,,,,https://en.wikipedia.org/wiki/Prunus_cerasifera
Fraxinus nigra,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Fraxinus_nigra
Bauhinia variegata,,1,1,1,1,1,,,,,,,https://en.wikipedia.org/wiki/Bauhinia_variegata
Thuja orientalis,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Thuja_orientalis
Photinia glabra,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Photinia_glabra
Acacia karroo,,,,,1,1,,,,,,,https://en.wikipedia.org/wiki/Vachellia_karroo
Fraxinus ornus,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Fraxinus_ornus
Cupressus macrocarpa,,1,1,,,,,,,,,,https://en.wikipedia.org/wiki/Cupressus_macrocarpa
Ficus nitida,,,,,,,,1,1,,,,https://en.wikipedia.org/wiki/Ficus_benjamina
Acacia dealbata,1,1,1,,,,,,,,,,https://en.wikipedia.org/wiki/Acacia_dealbata
Araucaria araucana,,,,,,,,1,1,,,,https://en.wikipedia.org/wiki/Araucaria_araucana
Lagunaria patersonii,,,,,1,1,1,,,,,,https://en.wikipedia.org/wiki/Lagunaria
Elaeagnus angustifolia,,,,,1,1,1,,,,,,https://en.wikipedia.org/wiki/Elaeagnus_angustifolia
Koelreuteria bipinnata,,,,,,,1,1,1,,,,https://en.wikipedia.org/wiki/Koelreuteria_bipinnata
Pyrus communis,,1,1,,,,,,,,,,https://en.wikipedia.org/wiki/Pyrus_communis
Cupressus funebris,,,1,,,,,,,,,,https://en.wikipedia.org/wiki/Cupressus_funebris
Ricinus communis,,,,,1,1,1,1,1,1,1,1,https://en.wikipedia.org/wiki/Ricinus
Pinus pinaster,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Pinus_pinaster
Schinus terebinthifolius,,,,,,,,1,1,1,,,https://en.wikipedia.org/wiki/Schinus_terebinthifolia
Cestrum nocturnum,,,,,1,1,1,,,,,,https://en.wikipedia.org/wiki/Cestrum_nocturnum
Yucca aloifolia,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Yucca_aloifolia
Broussonetia papyrifera,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Paper_mulberry
Lonicera nitida,,,,,1,,,,,,,,https://en.wikipedia.org/wiki/Lonicera_nitida
Hibiscus rosa-sinensis,,,,1,1,1,1,1,1,1,,,https://en.wikipedia.org/wiki/Hibiscus_rosa-sinensis
Chorisia sp,,,,,,,,,1,1,1,,https://en.wikipedia.org/wiki/Ceiba_speciosa
Tilia platyphyllos,,,,,,1,1,,,,,,https://en.wikipedia.org/wiki/Tilia_platyphyllos
Hibiscus syriacus,,,,1,1,1,1,1,,,,,https://en.wikipedia.org/wiki/Hibiscus_syriacus
"Ligustrum japonicum ""variegata""",,,,,1,1,,,,,,,https://en.wikipedia.org/wiki/Ligustrum_japonicum
Cistus sp,,,,,1,1,,,,,,,https://en.wikipedia.org/wiki/Cistus
Acacia cyanophylla,,1,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Acacia_saligna
Vitex agnus-castus,,,,,,,,1,1,,,,https://en.wikipedia.org/wiki/Vitex_agnus-castus
Elaeagnus pugens,,,,,,,,,1,1,1,1,https://en.wikipedia.org/wiki/Elaeagnus_pungens
Acacia longifolia,,1,1,,,,,,,,,,https://en.wikipedia.org/wiki/Acacia_longifolia
Hibiscus mutabilis,,,,1,1,,,,1,1,,,https://en.wikipedia.org/wiki/Hibiscus_mutabilis
Ficus macrophylla,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Ficus_macrophylla
Juglans regia,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Juglans_regia
Ulmus campestris,,1,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Ulmus_campestris
Opuntia sp,,,,,,1,1,,,,,,https://en.wikipedia.org/wiki/Opuntia
Viburnum tinus,1,1,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Viburnum_tinus
Bouganvillea spectabilis,,,,1,1,1,1,1,1,1,1,,https://en.wikipedia.org/wiki/Bougainvillea_spectabilis
Photinia sp,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Photinia
Araucaria sp,,,,,,1,1,,,,,,https://en.wikipedia.org/wiki/Araucaria
Quercus suber,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Quercus_suber
Prunus persica,,1,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Peach
